comment,original,translation
ch02.xml:3,Getting Started,Primeiros pasos
ch02.xml:7,"The classic model of how free software projects get started was supplied by Eric Raymond, in a now-famous paper on open source processes entitled <citetitle>The Cathedral and the Bazaar</citetitle>. He wrote:","O modelo clásico de cómo os proxectos de software libre son iniciados foi proposto por Eric Raymond, nun artigo xa famoso sobre procesos no software libre titulado <citetitle>A catedral e o bazar<citetitle>. Raymond escribiu:"
ch02.xml:13,Every good work of software starts by scratching a developer's personal itch.,Tódolos bos proxectos de software comezan satisfacendo as necesidades dun desenvolvedor.
ch02.xml:16,"(from <emphasis role=""bold""><ulink url=""http://www.catb.org/~esr/writings/cathedral-bazaar/""></ulink> </emphasis>)","(de <emphasis role=""bold""><ulink url=""http://www.catb.org/~esr/writings/cathedral-bazaar/""></ulink> </emphasis>)"
ch02.xml:20,"Note that Raymond wasn't saying that open source projects happen only when some individual gets an itch. Rather, he was saying that <emphasis>good</emphasis> software results when the programmer has a personal interest in seeing the problem solved; the relevance of this to free software was that a personal itch happened to be the most frequent motivation for starting a free software project.","Obsérvese que Raymond non está dicindo que os proxectos de software libre únicamente xurden cando un individuo ten unha necesidade. Máis ben, está dicindo que os <emphasis>bos</emphasis> programas son resultado de que un programador teña un interese persoal en ver o problema resolto; a relevancia disto para o software libre foi que un desexo persoal sexa a motivación máis frecuente para comezar un proxecto de software libre."
ch02.xml:27,"This is still how most free software projects are started, but less so now than in 1997, when Raymond wrote those words. Today, we have the phenomenon of organizations&mdash;including for-profit corporations&mdash;starting large, centrally-managed open source projects from scratch. The lone programmer, banging out some code to solve a local problem and then realizing the result has wider applicability, is still the source of much new free software, but is not the only story.","Esto segue sendo a maneira cómo moitos proxectos de software libre comezan, mais menos agora do que era en 1997, cando Raymond escribiu esas palabras. Hoxe en día, temos o fenómeno de organizacións &mdash;incluíndo as organizacións con ánimo de lucro&mdash; inician grandes proxectos de software libre dende cero. O programador solitario, tecleando algún código para resolver un problema local y logo dándose conta de que o seu traballo ten unha aplicación meirando, é aínda a fonte de moito do software libre realizado, pero non a única."
ch02.xml:36,"Raymond's point is still insightful, however. The essential condition is that the producers of the software have a direct interest in its success, because they use it themselves. If the software doesn't do what it's supposed to do, the person or organization producing it will feel the dissatisfaction in their daily work. For example, the OpenAdapter project (<ulink url=""http://www.openadapter.org/""></ulink>), which was started by investment bank Dresdner Kleinwort Wasserstein as an open source framework for integrating disparate financial information systems, can hardly be said to scratch any individual programmer's personal itch. It scratches an institutional itch. But that itch arises directly from the experiences of the institution and its partners, and therefore if the project fails to relieve them, they will know. This arrangement produces good software because the feedback loop flows in the right direction. The program isn't being written to be sold to someone else so they can solve <emphasis>their</emphasis> problem. It's being written to solve one's <emphasis>own</emphasis> problem, and then shared with everyone, much as though the problem were a disease and the software were medicine whose distribution is meant to completely eradicate the epidemic.","Porén, o argumento de Raymond é aínda válido. A condición esencial é que os produtores do software teñan un interese directo no seu éxito, xa que eles mesmos o utilizan. Si o programa non se comporta como debería, a persoa ou organización que o levan a cabo sentirá a insatisfacción no seu día a día. Por exemplo, o proxecto OpenAdapter (<ulink url=""http://www.openadapter.org/""></ulink>), que foi comezado polo banco de inversións Dresdner Kleinwort Wasserstein como unha ferramenta de traballo de software libre para integrar sistemas de información financieira dispares, difícilmente pode ser dito que resolva a necesidade persoal dun desenvolvedor. En particular este problema xurde da experiencia da institución e os seus socios, co cal si o programa non o resolve, eles o saberán. Esta situación provoca que se produza bo software xa que a retroalimentación flúe na dirección correcta. O software non está sendo escrito para venderllo a un terceiro, senón para resolver as <emphasis>propias</emphasis> necesidades. Comparten o programa como si o problema fose unha enfermidade e o software o medicamento, que debe ser distribuido para erradica-la pandemida."
ch02.xml:56,"This chapter is about how to introduce a new free software project to the world, but many of its recommendations would sound familiar to a health organization distributing medicine. The goals are very similar: you want to make it clear what the medicine does, get it into the hands of the right people, and make sure that those who receive it know how to use it. But with software, you also want to entice some of the recipients into joining the ongoing research effort to improve the medicine.","Este capítulo versa sobre cómo introducir un novo proxecto de software libre ó mundo, pero moitas das súas recomendacións sonarían familiares a unha organización sanitaria que distribúa medicamentos. Os obxectivos son moi similares: desexas deixar claro qué fai o medicamento, facelo chegar ás mans da xente correcta e asegurarte de que esos que o reciben saben cómo usalo. Pero co software, tamén desexas atraer a algúns dos receptores para que se unan ó actual esforzo de investigación para mellorar o medicamento."
ch02.xml:65,"Free software distribution is a twofold task. The software needs to acquire users, and to acquire developers. These two needs are not necessarily in conflict, but they do add some complexity to a project's initial presentation. Some information is useful for both audiences, some is useful only for one or the other. Both kinds of information should subscribe to the principle of scaled presentation; that is, the degree of detail presented at each stage should correspond directly to the amount of time and effort put in by the reader. More effort should always equal more reward. When the two do not correlate tightly, people may quickly lose faith and stop investing effort.","A distribución de software libre é unha tarefa a dúas bandas: o software precisa usuarios e desenvolvedores. Estas necesidades non están necesariamente en conflito, mais engaden algunha complexidade á presentación inicial do proxecto. Algunha información é útil para ambas audiencias, outra únicamente para unha delas. Toda esa información debería seguir o principio de presentación escalada: o grado de detalle presentado en cada etapa debe ser proporcional á cantidade de tempo e esforzo posto polo lector. Máis esforzo debería conlevar maior recompensa. Cando non se relacionan ambos, as persoas poden perder rápidamente a fe e perde-lo impulso."
ch02.xml:77,"The corollary to this is that <emphasis>appearances matter</emphasis>. Programmers, in particular, often don't like to believe this. Their love of substance over form is almost a point of professional pride. It's no accident that so many programmers exhibit an antipathy for marketing and public relations work, nor that professional graphic designers are often horrified at what programmers come up with on their own.","O corolario disto é que <emphasis>as apariencias importan</emphasis>. Os desenvolvedores, en particular, habitualmente non desexan crer nisto. O seu amor pola sustancia sobre a forma é case un punto de orgullo profesional. Non é casualidade que tantos programadores exhiban unha antipatía pola publicidade e as relacións públicas, nin que os deseñadores gráficos profesionais habitualmente se horroricen co que os programadores propoñen."
ch02.xml:85,"This is a pity, because there are situations where form <emphasis>is</emphasis> substance, and project presentation is one of them. For example, the very first thing a visitor learns about a project is what its web site looks like. This information is absorbed before any of the actual content on the site is comprehended&mdash;before any of the text has been read or links clicked on. However unjust it may be, people cannot stop themselves from forming an immediate first impression. The site's appearance signals whether care was taken in organizing the project's presentation. Humans have extremely sensitive antennae for detecting the investment of care. Most of us can tell in one glance whether a web site was thrown together quickly or was given serious thought. This is the first piece of information your project puts out, and the impression it creates will carry over to the rest of the project by association.","Esto é unha pena, xa que existen situación onde a forma <emphasis>é</emphasis> a sustancia, e a presentación do proxecto é unha delas. Por exemplo, a primeira cousa que unha persoa descubre sobre un proxecto é a apariencia da súa páxina web. Esta información absórvese antes de que calquera contido sexa comprendido &mdash; antes de que calquera texto sexa lido ou os enlaces pulsados. Aínda que poida parecer inxusto, xente non poden evitar unha primeira impresión. A apariencia da web sinala si se dedicaron esforzos á organización da presentación do proxecto. Os seres humanos temos unha antena extremadamente sensible para detectar o empeño dedicado. Moitos de nós podemos decir dun único vistazo si un sitio web foi publicado rápidamente ou foi pensado con mimo. Ésta é a primeira peza de información que o proxecto amosa, e a impresión que crea será traspasada ó resto do proxecto por asociación."
ch02.xml:101,"Thus, while much of this chapter talks about the content your project should start out with, remember that its look and feel matter too. Because the project web site has to work for two different types of visitors&mdash;users and developers&mdash;special attention must be paid to clarity and directedness. Although this is not the place for a general treatise on web design, one principle is important enough to deserve mention, particularly when the site serves multiple (if overlapping) audiences: people should have a rough idea where a link goes before clicking on it. For example, it should be obvious <emphasis>from looking at the links</emphasis> to user documentation that they lead to user documentation, and not to, say, developer documentation. Running a project is partly about supplying information, but it's also about supplying comfort. The mere presence of certain standard offerings, in expected places, reassures users and developers who are deciding whether they want to get involved. It says that this project has its act together, has anticipated the questions people will ask, and has made an effort to answer them in a way that requires minimal exertion on the part of the asker. By giving off this aura of preparedness, the project sends out a message: ""Your time will not be wasted if you get involved,"" which is exactly what people need to hear.","Así, aínda que a maioría deste capítulo fala sobre o contido co que se debería iniciar o teu proxecto, recorda que a súa apariencia tamén importa. Debido a que a páxina web ten que abarcar dous tipos de visitantes distintos &dash; usuarios e desenvolvedores&dash; debe ser posta especial atención na claridade e concisión. Aínda que éste non é lugar para un tratado xeral sobre deseño web, existe un principio o suficientemente importante como para prestarlle atención, particularmente cando a web informa a múltiples (é decir, solapadas) audiencias: a xente debería ter unha vaga idea de a onde leva un enlace antes de pulsalo. Por exemplo, <emphasis>con só ver o enlace</emphasis> á documentación de usuario que leva á documentación de usuario e non, por exemplo, á de desenvolvedor. Dirixir un proxecto básase parcialmente en suministrar información, pero tamén consiste en ofrecer comodidade. A mera presencia de ofrecer estándares, nos lugares esperados, tranquiliza a usuarios e desenvolvedores que están decidindo si involucrarse ou non no proxecto. Comunica que o proxecto actúa como un todo, que anticipou as cuestións que a xente preguntará e respondeunas de maneira que o visitante teña que realizar o mínimo esforzo. Dando este halo de preparación, o proxecto envía a seguinte mensaxe: ""O teu tempo non será desperdiciado si participas"", o que resulta ser exactamente o que a xente necesita escoitar."
ch02.xml:126,"But First, Look Around",Primeiro bota un ollo ó teu arredor
ch02.xml:128,"Before starting an open source project, there is one important caveat:","Antes de comezar un proxecto de software libre, hai unha advertencia importante:"
